Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento,Circuito,Nacionalidade_pt
Onofre Marimón,Argentina,"[1951, 1953, 1954]",0,12,11,0,0,2,1,8,                                                                                                                                                                                                                                                               ,0.0,0.92,0.0,0.17,0.08,0.68,False,Onofre Marimón                                                                                                                                                                                                                                                 ,30,07/31/54                                                                                                                                                                                                                                                       ,German Grand Prix,Maserati,Treino livre,German Grand Prix,Argentina
Pat O'Connor,United States,"[1954, 1955, 1956, 1957, 1958]",0,6,5,1,0,0,0,0,                                                                                                                                                                                                                                                               ,0.17,0.83,0.0,0.0,0.0,0.0,False,Pat O'Connor                                                                                                                                                                                                                                                   ,29,05/30/58                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Corrida,Indianapolis 500,Estados Unidos
Patrick Depailler,France,"[1972, 1974, 1975, 1976, 1977, 1978, 1979, 1980]",0,95,95,1,2,19,4,139,                                                                                                                                                                                                                                                               ,0.01,1.0,0.02,0.2,0.04,1.46,False,Patrick Depailler                                                                                                                                                                                                                                              ,35,08/01/80                                                                                                                                                                                                                                                       ,N/A,Alfa Romeo,Teste,,França
Peter Collins,United Kingdom,"[1952, 1953, 1954, 1955, 1956, 1957, 1958]",0,35,32,0,3,9,0,47,                                                                                                                                                                                                                                                               ,0.0,0.91,0.09,0.26,0.0,1.34,False,Peter Collins                                                                                                                                                                                                                                                  ,26,08/03/58                                                                                                                                                                                                                                                       ,German Grand Prix,Ferrari,Corrida,German Grand Prix,Reino Unido
Peter Revson,United States,"[1964, 1971, 1972, 1973, 1974]",0,32,30,1,2,8,0,61,                                                                                                                                                                                                                                                               ,0.03,0.94,0.06,0.25,0.0,1.91,False,Peter Revson                                                                                                                                                                                                                                                   ,35,03/22/74                                                                                                                                                                                                                                                       ,South African Grand Prix,Shadow,Teste pré-corrida,South African Grand Prix,Estados Unidos
Piers Courage,United Kingdom,"[1967, 1968, 1969, 1970]",0,29,27,0,0,2,0,20,                                                                                                                                                                                                                                                               ,0.0,0.93,0.0,0.07,0.0,0.69,False,Piers Courage                                                                                                                                                                                                                                                  ,28,06/07/70                                                                                                                                                                                                                                                       ,Dutch Grand Prix,De Tomaso,Corrida,Dutch Grand Prix,Reino Unido
Ricardo Rodríguez,Mexico,"[1961, 1962]",0,6,5,0,0,0,0,4,                                                                                                                                                                                                                                                               ,0.0,0.83,0.0,0.0,0.0,0.67,False,Ricardo Rodríguez                                                                                                                                                                                                                                              ,20,11/01/62                                                                                                                                                                                                                                                       ,Mexican Grand Prix,Lotus,Treino livre,Mexican Grand Prix,México
Riccardo Paletti,Italy,[1982],0,8,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.25,0.0,0.0,0.0,0.0,False,Riccardo Paletti                                                                                                                                                                                                                                               ,23,06/13/82                                                                                                                                                                                                                                                       ,Canadian Grand Prix,Osella,Corrida,Canadian Grand Prix,Itália
Roger Williamson,United Kingdom,[1973],0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Roger Williamson                                                                                                                                                                                                                                               ,25,07/29/73                                                                                                                                                                                                                                                       ,Dutch Grand Prix,March,Corrida,Dutch Grand Prix,Reino Unido
Roland Ratzenberger,Austria,[1994],0,3,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.33,0.0,0.0,0.0,0.0,False,Roland Ratzenberger                                                                                                                                                                                                                                            ,33,04/30/94                                                                                                                                                                                                                                                       ,San Marino Grand Prix,Simtek,Classificação,San Marino Grand Prix,Áustria
Ronnie Peterson,Sweden,"[1970, 1971, 1972, 1973, 1974, 1975, 1976, 1977, 1978]",0,123,123,14,10,26,9,206,                                                                                                                                                                                                                                                               ,0.11,1.0,0.08,0.21,0.07,1.67,False,Ronnie Peterson                                                                                                                                                                                                                                                ,34,09/10/78                                                                                                                                                                                                                                                       ,Italian Grand Prix,Lotus,Corrida,Italian Grand Prix,Suécia
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Shane Summers                                                                                                                                                                                                                                                  ,24,06/01/61                                                                                                                                                                                                                                                       ,Silver City Trophy,Cooper,Treino livre,Silver City Trophy,
Stuart Lewis-Evans,United Kingdom,"[1957, 1958]",0,14,14,2,0,2,0,16,                                                                                                                                                                                                                                                               ,0.14,1.0,0.0,0.14,0.0,1.14,False,Stuart Lewis-Evans                                                                                                                                                                                                                                             ,28,09/19/58                                                                                                                                                                                                                                                       ,Moroccan Grand Prix,Vanwall,Corrida,Moroccan Grand Prix,Reino Unido
Tom Pryce,United Kingdom,"[1974, 1975, 1976, 1977]",0,42,42,1,0,2,0,19,                                                                                                                                                                                                                                                               ,0.02,1.0,0.0,0.05,0.0,0.45,False,Tom Pryce                                                                                                                                                                                                                                                      ,27,03/05/77                                                                                                                                                                                                                                                       ,South African Grand Prix,Shadow,Corrida,South African Grand Prix,Reino Unido
Wolfgang Von Trips,West Germany,"[1956, 1957, 1958, 1959, 1960, 1961]",0,29,27,1,2,6,0,56,                                                                                                                                                                                                                                                               ,0.03,0.93,0.07,0.21,0.0,1.93,False,Wolfgang von Trips                                                                                                                                                                                                                                             ,33,09/10/61                                                                                                                                                                                                                                                       ,Italian Grand Prix,Ferrari,Corrida,Italian Grand Prix,Alemanha Ocidental
